DateUTC,TotalActiveEnergy+,TotalActiveEnergy-,production,consumption,TS_id,HMS_id,id
2021-12-31 00:00:00,0.008,0.0,0.0,0.008,velverde_combined_production_consumption_574,574,1
2021-12-31 00:05:00,0.008,0.0,0.0,0.008,velverde_combined_production_consumption_574,574,2
2021-12-31 00:10:00,0.009,0.0,0.0,0.009,velverde_combined_production_consumption_574,574,3
2021-12-31 00:15:00,0.007,0.0,0.0,0.007,velverde_combined_production_consumption_574,574,4
2021-12-31 00:20:00,0.007,0.0,0.0,0.007,velverde_combined_production_consumption_574,574,5
2021-12-31 00:25:00,0.007,0.0,0.0,0.007,velverde_combined_production_consumption_574,574,6
2021-12-31 00:30:00,0.006,0.0,0.0,0.006,velverde_combined_production_consumption_574,574,7
2021-12-31 00:35:00,0.051,0.0,0.0,0.051,velverde_combined_production_consumption_574,574,8
2021-12-31 00:40:00,0.115,0.0,0.0,0.115,velverde_combined_production_consumption_574,574,9
2021-12-31 00:45:00,0.111,0.0,0.0,0.111,velverde_combined_production_consumption_574,574,10
2021-12-31 00:50:00,0.114,0.0,0.0,0.114,velverde_combined_production_consumption_574,574,11
2021-12-31 00:55:00,0.117,0.0,0.0,0.117,velverde_combined_production_consumption_574,574,12
2021-12-31 01:00:00,0.116,0.0,0.0,0.116,velverde_combined_production_consumption_574,574,13
2021-12-31 01:05:00,0.118,0.0,0.0,0.118,velverde_combined_production_consumption_574,574,14
2021-12-31 01:10:00,0.12,0.0,0.0,0.12,velverde_combined_production_consumption_574,574,15
2021-12-31 01:15:00,0.011,0.0,0.0,0.011,velverde_combined_production_consumption_574,574,16
2021-12-31 01:20:00,0.01,0.0,0.0,0.01,velverde_combined_production_consumption_574,574,17
2021-12-31 01:25:00,0.01,0.0,0.0,0.01,velverde_combined_production_consumption_574,574,18
2021-12-31 01:30:00,0.007,0.0,0.0,0.007,velverde_combined_production_consumption_574,574,19
2021-12-31 01:35:00,0.006,0.0,0.0,0.006,velverde_combined_production_consumption_574,574,20
2021-12-31 01:40:00,0.006,0.0,0.0,0.006,velverde_combined_production_consumption_574,574,21
2021-12-31 01:45:00,0.006,0.0,0.0,0.006,velverde_combined_production_consumption_574,574,22
2021-12-31 01:50:00,0.006,0.0,0.0,0.006,velverde_combined_production_consumption_574,574,23
2021-12-31 01:55:00,0.005,0.0,0.0,0.005,velverde_combined_production_consumption_574,574,24
2021-12-31 02:00:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,25
2021-12-31 02:05:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,26
2021-12-31 02:10:00,0.005,0.0,0.0,0.005,velverde_combined_production_consumption_574,574,27
2021-12-31 02:15:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,28
2021-12-31 02:20:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,29
2021-12-31 02:25:00,0.009,0.0,0.0,0.009,velverde_combined_production_consumption_574,574,30
2021-12-31 02:30:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,31
2021-12-31 02:35:00,0.005,0.0,0.0,0.005,velverde_combined_production_consumption_574,574,32
2021-12-31 02:40:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,33
2021-12-31 02:45:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,34
2021-12-31 02:50:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,35
2021-12-31 02:55:00,0.008,0.0,0.0,0.008,velverde_combined_production_consumption_574,574,36
2021-12-31 03:00:00,0.005,0.0,0.0,0.005,velverde_combined_production_consumption_574,574,37
2021-12-31 03:05:00,0.014,0.0,0.0,0.014,velverde_combined_production_consumption_574,574,38
2021-12-31 03:10:00,0.018,0.0,0.0,0.018,velverde_combined_production_consumption_574,574,39
2021-12-31 03:15:00,0.017,0.0,0.0,0.017,velverde_combined_production_consumption_574,574,40
2021-12-31 03:20:00,0.016,0.0,0.0,0.016,velverde_combined_production_consumption_574,574,41
2021-12-31 03:25:00,0.017,0.0,0.0,0.017,velverde_combined_production_consumption_574,574,42
2021-12-31 03:30:00,0.008,0.0,0.0,0.008,velverde_combined_production_consumption_574,574,43
2021-12-31 03:35:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,44
2021-12-31 03:40:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,45
2021-12-31 03:45:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,46
2021-12-31 03:50:00,0.004,0.0,0.0,0.004,velverde_combined_production_consumption_574,574,47
2021-12-31 03:55:00,0.005,0.0,0.0,0.005,velverde_combined_production_consumption_574,574,48
