DateUTC,TotalActiveEnergy+,TotalActiveEnergy-,production,consumption
2021-12-31 10:20:00,0.027,0.011,0.039,0.055
2021-12-31 10:25:00,0,0.041,0.042,0.001
2021-12-31 10:30:00,0,0.035,0.046,0.011
2021-12-31 10:35:00,0,0.018,0.025,0.007
2021-12-31 10:40:00,0,0.032,0.051,0.019
2021-12-31 10:45:00,0,0.028,0.048,0.02
2021-12-31 10:50:00,0,0.039,0.049,0.01
2021-12-31 10:55:00,0,0.028,0.05,0.022
2021-12-31 11:00:00,0,0.032,0.052,0.02
2021-12-31 11:05:00,0,0.038,0.048,0.01
2021-12-31 11:10:00,0,0.035,0.055,0.02
2021-12-31 11:15:00,0,0.037,0.055,0.018
2021-12-31 11:20:00,0,0.045,0.058,0.013
2021-12-31 11:25:00,0,0.063,0.06,-0.003
2021-12-31 11:30:00,0,0.047,0.06,0.013
2021-12-31 11:35:00,0,0.049,0.05,0.001
2021-12-31 11:40:00,0,0.053,0.066,0.013
2021-12-31 11:45:00,0,0.054,0.067,0.013
2021-12-31 11:50:00,0,0.064,0.067,0.003
2021-12-31 11:55:00,0,0.051,0.068,0.017
2021-12-31 12:00:00,0,0.053,0.066,0.013
2021-12-31 12:05:00,0,0.065,0.058,-0.007
2021-12-31 12:10:00,0,0.057,0.067,0.01
2021-12-31 12:15:00,0,0.058,0.069,0.011
2021-12-31 12:20:00,0,0.057,0.068,0.011
2021-12-31 12:25:00,0,0.079,0.071,-0.00800000000000001
2021-12-31 12:30:00,0,0.061,0.071,0.01
2021-12-31 12:35:00,0,0.049,0.049,0
2021-12-31 12:40:00,0,0.053,0.063,0.01
2021-12-31 12:45:00,0,0.048,0.058,0.01
2021-12-31 12:50:00,0,0.061,0.058,-0.003
2021-12-31 12:55:00,0,0.029,0.048,0.019
2021-12-31 13:00:00,0,0.03,0.05,0.02
2021-12-31 13:05:00,0,0.042,0.049,0.007
2021-12-31 13:10:00,0,0.025,0.044,0.019
2021-12-31 13:15:00,0,0.032,0.052,0.02
2021-12-31 13:20:00,0,0.043,0.064,0.021
2021-12-31 13:25:00,0,0.064,0.067,0.003
2021-12-31 13:30:00,0,0.05,0.069,0.019
2021-12-31 13:35:00,0,0.053,0.057,0.004
2021-12-31 13:40:00,0,0.059,0.071,0.012
2021-12-31 13:45:00,0,0.059,0.056,-0.003
2021-12-31 13:50:00,0,0.075,0.081,0.00600000000000001
2021-12-31 13:55:00,0,0.045,0.057,0.012
2021-12-31 14:00:00,0,0.052,0.063,0.011
2021-12-31 14:05:00,0,0.07,0.062,-0.00800000000000001
2021-12-31 14:10:00,0,0.056,0.067,0.011
2021-12-31 14:15:00,0,0.04,0.051,0.011
2021-12-31 14:20:00,0,0.027,0.03,0.003
2021-12-31 14:25:00,0,0.074,0.078,0.004
2021-12-31 14:30:00,0,0.034,0.044,0.01
2021-12-31 14:35:00,0,0.035,0.035,0
2021-12-31 14:40:00,0,0.032,0.042,0.01
2021-12-31 14:45:00,0,0.029,0.038,0.009
2021-12-31 14:50:00,0,0.037,0.037,0
2021-12-31 14:55:00,0,0.03,0.039,0.009
2021-12-31 15:00:00,0,0.032,0.042,0.01
2021-12-31 15:05:00,0,0.04,0.038,-0.002
2021-12-31 15:10:00,0,0.034,0.043,0.009
2021-12-31 15:15:00,0,0.033,0.044,0.011
2021-12-31 15:20:00,0,0.035,0.048,0.013
2021-12-31 15:25:00,0,0.043,0.051,0.008
2021-12-31 15:30:00,0,0.031,0.05,0.019
2021-12-31 15:35:00,0,0.026,0.036,0.01
2021-12-31 15:40:00,0,0.019,0.036,0.017
2021-12-31 15:45:00,0,0.021,0.039,0.018
2021-12-31 15:50:00,0,0.023,0.034,0.011
2021-12-31 15:55:00,0,0.013,0.03,0.017
2021-12-31 16:00:00,0,0.015,0.032,0.017
2021-12-31 16:05:00,0,0.022,0.025,0.003
2021-12-31 16:10:00,0,0.009,0.017,0.008
2021-12-31 16:15:00,0,0,0.007,0.007
2021-12-31 16:20:00,0.001,0,0.007,0.008
2021-12-31 16:25:00,0.002,0,0.006,0.008
2021-12-31 16:30:00,0.001,0,0.006,0.007
